state,declaration_date,incident_type
IL,1957-06-22,Flood
KS,1957-09-05,Flood
CA,1958-04-04,Flood
AR,1958-05-15,Flood
LA,1958-05-20,Flood
TX,1958-06-06,Tornado
IA,1958-07-05,Flood
NC,1958-10-01,Hurricane
KS,1958-11-06,Flood
OH,1959-01-23,Flood
PA,1959-01-23,Flood
IN,1959-01-29,Flood
TX,1959-07-08,Flood
OK,1959-07-08,Flood
HI,1959-08-16,Hurricane
OK,1959-11-09,Flood
HI,1960-01-21,Earthquake
FL,1960-03-23,Other
NE,1960-04-04,Flood
SD,1960-04-08,Flood
MO,1960-04-20,Flood
HI,1960-05-25,Other
AR,1960-05-28,Tornado
OK,1960-07-15,Severe Storm
TX,1960-07-15,Severe Storm
ID,1960-07-22,Fire
FL,1960-09-12,Hurricane
NC,1960-09-16,Hurricane
AL,1961-02-27,Flood
MS,1961-02-27,Flood
GA,1961-03-02,Flood
IA,1961-03-31,Flood
AR,1961-05-16,Flood
IN,1961-05-20,Flood
IL,1961-05-27,Flood
MO,1961-05-27,Flood
ID,1961-06-26,Flood
WV,1961-07-23,Flood
TX,1961-09-16,Hurricane
CA,1961-11-16,Fire
ID,1962-02-14,Flood
NV,1962-02-22,Flood
CA,1962-03-06,Flood
MD,1962-03-09,Flood
DE,1962-03-09,Flood
WV,1962-03-09,Flood
NJ,1962-03-09,Flood
VA,1962-03-09,Flood
KY,1962-03-12,Flood
NC,1962-03-16,Flood
NY,1962-03-16,Flood
NE,1962-05-10,Flood
SD,1962-07-27,Flood
NE,1962-09-05,Flood
IA,1962-09-05,Flood
MS,1962-10-10,Toxic Substances
OR,1962-10-16,Severe Storm
WA,1962-10-20,Severe Storm
CA,1962-10-24,Flood
LA,1962-11-05,Toxic Substances
GU,1962-11-12,Typhoon
FL,1962-12-17,Flood
ID,1963-02-14,Flood
NV,1963-02-14,Flood
CA,1963-02-25,Flood
OR,1963-02-25,Flood
WA,1963-03-02,Flood
KY,1963-03-13,Flood
WV,1963-03-13,Flood
VA,1963-03-21,Flood
GA,1963-03-26,Flood
TN,1963-03-27,Flood
HI,1963-04-24,Flood
FM,1963-04-30,Typhoon
GU,1963-04-30,Typhoon
WY,1963-07-04,Flood
NE,1963-07-17,Flood
AR,1963-08-02,Flood
NY,1963-08-23,Flood
TX,1963-09-24,Hurricane
VT,1963-11-27,Drought
CA,1963-12-21,Dam/Levee Break
VT,1964-03-17,Flood
KY,1964-03-17,Flood
IN,1964-03-17,Flood
AR,1964-03-20,Flood
WV,1964-03-20,Flood
OH,1964-03-24,Flood
AK,1964-03-28,Earthquake
CA,1964-04-01,Other
PR,1964-05-26,Drought
VI,1964-06-08,Drought
MT,1964-06-09,Flood
MO,1964-07-08,Flood
NE,1964-07-20,Flood
FL,1964-09-08,Hurricane
GA,1964-09-10,Hurricane
FL,1964-09-10,Hurricane
LA,1964-10-03,Hurricane
NC,1964-10-13,Flood
GA,1964-11-04,Flood
FM,1964-12-10,Typhoon
MT,1964-12-18,Snowstorm
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
OR,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
CA,1964-12-24,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
WA,1964-12-29,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
ID,1964-12-31,Flood
NV,1965-01-18,Flood
NV,1965-01-18,Flood
NV,1965-01-18,Flood
NV,1965-01-18,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
MN,1965-04-11,Flood
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
OH,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
MI,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
IN,1965-04-14,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
WI,1965-04-21,Tornado
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IA,1965-04-22,Flood
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
IL,1965-04-25,Tornado
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
ND,1965-05-10,Flood
WA,1965-05-11,Earthquake
WA,1965-05-11,Earthquake
WA,1965-05-11,Earthquake
WA,1965-05-11,Earthquake
WA,1965-05-11,Earthquake
WA,1965-05-11,Earthquake
SD,1965-05-26,Flood
SD,1965-05-26,Flood
SD,1965-05-26,Flood
SD,1965-05-26,Flood
MO,1965-06-14,Severe Storm
MO,1965-06-14,Severe Storm
MO,1965-06-14,Severe Storm
MO,1965-06-14,Severe Storm
MO,1965-06-14,Severe Storm
MO,1965-06-14,Severe Storm
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
CO,1965-06-19,Tornado
TX,1965-06-19,Tornado
TX,1965-06-19,Tornado
TX,1965-06-19,Tornado
TX,1965-06-19,Tornado
TX,1965-06-19,Tornado
TX,1965-06-19,Tornado
TX,1965-06-19,Tornado
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
KS,1965-06-23,Flood
NM,1965-07-01,Flood
NM,1965-07-01,Flood
NM,1965-07-01,Flood
NM,1965-07-01,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
MO,1965-07-27,Flood
DE,1965-08-18,Drought
DE,1965-08-18,Drought
DE,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
PA,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NJ,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
NY,1965-08-18,Drought
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
LA,1965-09-10,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
FL,1965-09-14,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
MS,1965-09-25,Hurricane
CA,1965-12-07,Flood
CA,1965-12-07,Flood
CA,1965-12-07,Flood
CA,1965-12-07,Flood
CA,1966-01-22,Flood
AS,1966-02-10,Typhoon
AS,1966-02-10,Typhoon
AS,1966-02-10,Typhoon
AS,1966-02-10,Typhoon
AS,1966-02-10,Typhoon
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
GA,1966-03-14,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
MN,1966-03-22,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
ND,1966-03-23,Flood
AZ,1966-04-30,Flood
AZ,1966-04-30,Flood
AZ,1966-04-30,Flood
AZ,1966-04-30,Flood
AZ,1966-04-30,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
TX,1966-05-12,Flood
KS,1966-06-10,Tornado
KS,1966-06-10,Tornado
ND,1966-07-09,Flood
ND,1966-07-09,Flood
ND,1966-07-09,Flood
ND,1966-07-09,Flood
ND,1966-07-09,Flood
ND,1966-07-09,Flood
ND,1966-07-09,Flood
ND,1966-07-09,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
NE,1966-08-31,Flood
TX,1966-09-27,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
CA,1967-01-02,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
WV,1967-03-13,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
KY,1967-03-27,Flood
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
IL,1967-04-25,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
KS,1967-07-18,Tornado
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
NE,1967-07-18,Flood
